epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,171.512,1.18435,1.36777,1.18488,0.68372,0.64198,0.60743,0.41415,1.133,1.45103,0.96797,0.0016634,0.0016634,0.0016634
19,180.53,1.19193,1.36858,1.15016,0.64706,0.66667,0.5967,0.36974,1.19287,1.53409,0.95312,0.0016436,0.0016436,0.0016436
20,189.506,1.21328,1.40981,1.17557,0.67401,0.67273,0.63629,0.42084,1.26984,1.4573,1.04495,0.0016238,0.0016238,0.0016238
21,198.489,1.13051,1.30019,1.12863,0.72079,0.66061,0.65408,0.46817,1.12296,1.34517,0.9215,0.001604,0.001604,0.001604
22,207.585,1.16403,1.33078,1.14361,0.70763,0.68943,0.62812,0.38645,1.33538,1.53277,1.01091,0.0015842,0.0015842,0.0015842
23,216.59,1.10336,1.27345,1.11836,0.6939,0.68485,0.62708,0.48481,0.96764,1.27448,0.8626,0.0015644,0.0015644,0.0015644
24,225.657,1.07926,1.25877,1.11402,0.70509,0.68485,0.65335,0.44246,1.14936,1.30744,0.89081,0.0015446,0.0015446,0.0015446
25,234.657,1.02385,1.17495,1.08946,0.65749,0.64848,0.59049,0.35833,1.37474,1.65127,1.03794,0.0015248,0.0015248,0.0015248
26,243.657,1.06477,1.23033,1.11572,0.65769,0.71515,0.63163,0.44775,1.087,1.4354,0.88572,0.001505,0.001505,0.001505
27,252.553,1.03768,1.23614,1.0986,0.69883,0.69091,0.67378,0.51272,1.00057,1.27304,0.86634,0.0014852,0.0014852,0.0014852
28,261.562,1.00557,1.19322,1.08469,0.66833,0.71515,0.63912,0.4614,1.20254,1.32987,0.90652,0.0014654,0.0014654,0.0014654
29,270.586,1.02581,1.17682,1.09913,0.67596,0.71515,0.66164,0.48873,1.00056,1.24274,0.8596,0.0014456,0.0014456,0.0014456
30,279.551,0.98572,1.15675,1.08351,0.69044,0.70909,0.64458,0.47002,1.05598,1.29096,0.91829,0.0014258,0.0014258,0.0014258
31,288.522,0.99088,1.17106,1.07113,0.70411,0.64898,0.66823,0.52844,0.93422,1.19538,0.83991,0.001406,0.001406,0.001406
32,297.546,1.03473,1.20474,1.09227,0.72558,0.69091,0.67807,0.46899,1.15329,1.32007,0.92465,0.0013862,0.0013862,0.0013862
33,306.473,0.98577,1.15748,1.08874,0.72471,0.66061,0.66515,0.49408,1.01785,1.25178,0.96988,0.0013664,0.0013664,0.0013664
34,315.429,0.98785,1.17391,1.09006,0.67964,0.72003,0.664,0.51076,0.94084,1.26584,0.89583,0.0013466,0.0013466,0.0013466
35,324.378,0.97582,1.16108,1.07628,0.66651,0.68485,0.64415,0.51761,0.9101,1.33479,0.84611,0.0013268,0.0013268,0.0013268
36,333.316,0.95443,1.0872,1.05325,0.70332,0.69091,0.66887,0.4775,1.09798,1.30023,0.88902,0.001307,0.001307,0.001307
37,342.337,0.99385,1.14728,1.05637,0.68829,0.70303,0.65728,0.50142,0.92336,1.15608,0.80541,0.0012872,0.0012872,0.0012872
38,351.401,0.98612,1.13921,1.07306,0.71253,0.71515,0.66979,0.53921,0.86097,1.21172,0.82526,0.0012674,0.0012674,0.0012674
39,360.436,0.96621,1.09063,1.0543,0.72934,0.64242,0.6433,0.51938,0.86571,1.16421,0.85201,0.0012476,0.0012476,0.0012476
40,369.487,0.95002,1.14257,1.06507,0.6835,0.70676,0.6712,0.55347,0.82887,1.16755,0.80143,0.0012278,0.0012278,0.0012278
41,378.58,0.88405,1.04289,1.03171,0.70124,0.67273,0.6637,0.51609,0.88148,1.20086,0.81044,0.001208,0.001208,0.001208
42,387.491,0.88788,1.02868,1.03917,0.68728,0.69697,0.67432,0.5367,0.88421,1.19382,0.80003,0.0011882,0.0011882,0.0011882
43,396.605,0.85994,1.05005,1.0353,0.66321,0.71515,0.65951,0.52132,0.91687,1.24791,0.83195,0.0011684,0.0011684,0.0011684
44,405.965,0.8749,1.04665,1.03189,0.71418,0.66061,0.6751,0.52836,0.91282,1.18707,0.84181,0.0011486,0.0011486,0.0011486
45,414.906,0.88675,1.05939,1.04299,0.67053,0.69074,0.66666,0.54152,0.86034,1.22912,0.78829,0.0011288,0.0011288,0.0011288
46,423.861,0.89617,1.0555,1.03517,0.6965,0.69543,0.68221,0.54772,0.85604,1.22859,0.79017,0.001109,0.001109,0.001109
